Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
19.5,0.73067153,-0.025053876,49.229733,0,11.076097,58.415878,-0.0016912608,9.3304129,11.076081,53.996361,-9.4625378
19.6,0.73312503,-0.025156496,49.229733,0,11.076097,58.715881,-0.0016720946,9.3513765,11.076162,54.336906,-9.4619274
19.7,0.74097139,-0.025378486,49.229733,0,11.076097,59.015881,-0.0016899629,9.4563437,11.075626,54.747726,-9.4620905
19.8,0.74307811,-0.025899887,49.229733,0,11.076097,59.315884,-0.0017127309,9.4836025,11.076881,55.123531,-9.461977
19.9,0.7406711,-0.026327843,49.229733,0,11.076097,59.615883,-0.0017737467,9.4352846,11.077159,55.41251,-9.4621553
20.0,0.73661679,-0.026506221,49.319809,0,11.076097,59.91589,-0.0017747999,9.395256,11.076138,55.735424,-9.4619884
20.1,0.72672838,-0.027141567,49.319851,0,11.076097,60.215893,-0.0018002768,9.2778864,11.075846,56.139099,-9.4616547
20.2,0.72148079,-0.027623368,49.378941,0,11.076097,60.515896,-0.0018232713,9.2118502,11.07569,56.517136,-9.4612236
20.3,0.72998798,-0.027681794,49.236191,0,11.076097,60.815899,-0.0018498577,9.3061666,11.07566,56.931179,-9.4611664
20.4,0.73705792,-0.027733622,49.230015,0,11.076097,61.115894,-0.0018716443,9.4138165,11.076341,57.217667,-9.4611149
20.5,0.74125278,-0.028079521,49.229752,0,11.076097,61.41589,-0.0018611681,9.4693689,11.075815,57.624432,-9.4609213
20.6,0.73810238,-0.028143683,49.22974,0,11.076097,61.715881,-0.0018638901,9.4118767,11.075974,57.97348,-9.4607744
20.7,0.74108315,-0.028860278,49.511784,0,11.076097,62.015881,-0.0019070952,9.459219,11.077165,58.230896,-9.4606819
20.8,0.73723668,-0.028742539,49.290382,0,11.076097,62.315884,-0.0019374723,9.4077778,11.076097,58.675686,-9.4606924
20.9,0.7327829,-0.029030722,49.330135,0,11.076097,62.615879,-0.001924879,9.3339252,11.076919,59.010117,-9.4601345
21.0,0.73819977,-0.02939615,49.349945,0,11.076097,62.915882,-0.0019602696,9.4175415,11.075508,59.393833,-9.4602394
